Unidade Pai;CodigoOriginal;DescricaoOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;Item Fundo;SituacaoFundo;ClonesLista;PrensadoRevisado
BA 1;8033589;FROST DT BR 44X66*;FP;m2;MONOPOROSA;8024327;FP;[];Nao
BA 1;8033590;MONTE BIANCO AC 44X66*;FP;m2;MONOPOROSA;8024326;FP;[];Nao
BA 1;8033591;MONTE BIANCO BR 44X66*;FP;m2;MONOPOROSA;8024327;FP;[];Nao
BA 1;8033592;NOAVA BEGE BR 44X66*;FP;m2;MONOPOROSA;8024328;FP;[];Nao
BA 1;8033593;CREATIVE BOSSA WHITE BR 32,5X59*;FP;m2;MONOPOROSA;8028325;FP;[];Nao
BA 1;8033594;CREATIVE JAZZ WHITE BR 32,5X59*;FP;m2;MONOPOROSA;8028326;FP;[];Nao
BA 1;8033595;CREATIVE PRISMA WHITE BR 32,5X59;FP;m2;MONOPOROSA;8025212;FP;[];Nao
BA 1;8033596;FROST DT AC 32,5X59*;FP;m2;MONOPOROSA;8024375;FP;[];Nao
BA 1;8033597;FROST DT BR 32,5X59*;FP;m2;MONOPOROSA;8024376;FP;[];Nao
BA 1;8033598;MAGNA BOSSA WHITE BR 32,5X59;FP;m2;MONOPOROSA;8026419;FP;[];Nao
BA 1;8033599;MAGNA WHITE BR 32,5X59;FP;m2;MONOPOROSA;8026434;FP;[];Nao
BA 1;8033600;MONTE BIANCO AC 32,5X59*;FP;m2;MONOPOROSA;8024375;FP;[];Nao
BA 1;8033601;MONTE BIANCO BR 32,5X59*;FP;m2;MONOPOROSA;8024376;FP;[];Nao
BA 1;8037368;MONTE BIANCO FENDI AC 32,5X59;FP;m2;MONOPOROSA;8028350;FP;[];Nao
BA 1;8034533;AQUA BRANCO AC 30X90;FP;m2;MONOPOROSA;8034530;FP;[];Nao
BA 1;8046474;ARGOS BRANCO MT 30X90;PL;m2;MONOPOROSA;8046357;PL;[];Nao
BA 1;8033602;BALLOON 30X90;FP;m2;MONOPOROSA;8030767;FP;[];Nao
BA 1;8033603;CALACATA BR 30x90;FP;m2;MONOPOROSA;8028574;FP;[];Nao
BA 1;8035026;CALACATA CRISTALO BR 30X90;FP;m2;MONOPOROSA;8035151;FP;[];Nao
BA 1;8035025;CALACATA CUBIC BR 30X90;FP;m2;MONOPOROSA;8035150;FP;[];Nao
BA 1;8042299;CARRARA AC 30X90;FP;m2;MONOPOROSA;8042298;FP;[];Nao
BA 1;8035024;CARRARA AQUA BR 30X90;FP;m2;MONOPOROSA;8035149;FP;[];Nao
BA 1;8033604;CARRARA BR 30X90;FP;m2;MONOPOROSA;8029096;FP;[];Nao
BA 1;8035023;CARRARA FLASH BR 30X90;FP;m2;MONOPOROSA;8035148;FP;[];Nao
BA 1;8034532;CARTIER BLANC AC 30X90;FP;m2;MONOPOROSA;8034529;FP;[];Nao
BA 1;8033605;CREMA MARFIL AC 30x90;FP;m2;MONOPOROSA;8028572;FP;[];Nao
BA 1;8033606;CREMA MARFIL BR 30x90;FP;m2;MONOPOROSA;8028778;FP;[];Nao
BA 1;8033161;CREMA MARFIL ORIGAMI AC 30X90;FP;m2;MONOPOROSA;8033160;FP;[];Nao
BA 1;8033163;CREMA MARFIL ORIGAMI BR 30X90;FP;m2;MONOPOROSA;8033162;FP;[];Nao
BA 1;8033607;CRISTALO AC 30X90;FP;m2;MONOPOROSA;8030759;FP;[];Nao
BA 1;8034526;CUBIC BLACK AC 30X90;FP;m2;MONOPOROSA;8034525;FP;[];Nao
BA 1;8034528;CUBIC WHITE AC 30X90;FP;m2;MONOPOROSA;8034527;FP;[];Nao
BA 1;8033608;DIAMANTE BRANCO AC 30x90;FP;m2;MONOPOROSA;8028558;FP;[];Nao
BA 1;8033609;DIAMANTE BRANCO BR 30x90;FP;m2;MONOPOROSA;8028559;FP;[];Nao
BA 1;8033610;DIAMANTE FENDI AC 30x90;FP;m2;MONOPOROSA;8028560;FP;[];Nao
BA 1;8033611;DIAMANTE FENDI BR 30x90;FP;m2;MONOPOROSA;8028796;FP;[];Nao
BA 1;8033612;FLASH AC 30X90;FP;m2;MONOPOROSA;8030765;FP;[];Nao
BA 1;8033613;GEOMETRICO AC 30x90;FP;m2;MONOPOROSA;8028571;FP;[];Nao
BA 1;8035031;HOME MA 30X90;FP;m2;MONOPOROSA;8035156;FP;[];Nao
BA 1;8033614;LIGHT 30X90;FP;m2;MONOPOROSA;8030769;FP;[];Nao
BA 1;8033615;LOOK BLUE AC 30X90;FP;m2;MONOPOROSA;8030747;FP;[];Nao
BA 1;8033616;LOOK BLUE DECOR AC 30X90;FP;m2;MONOPOROSA;8030748;FP;[];Nao
BA 1;8033617;MAR AC 30X90;FP;m2;MONOPOROSA;8028570;FP;[];Nao
BA 1;8033618;MARMORE CLASSICO BR 30x90;FP;m2;MONOPOROSA;8028575;FP;[];Nao
BA 1;8033619;NATURAL BRANCO AC 30x90;FP;m2;MONOPOROSA;8028558;FP;[];Nao
BA 1;8033620;NATURAL BRANCO BR 30x90;FP;m2;MONOPOROSA;8028559;FP;[];Nao
BA 1;8033621;NATURAL NUDE AC 30x90;FP;m2;MONOPOROSA;8028560;FP;[];Nao
BA 1;8035032;NEOCARRARA AC 30X90;FP;m2;MONOPOROSA;8035157;FP;[];Nao
BA 1;8035437;NEOLIMESTONE GIZ GRAY MA 30X90;FP;m2;MONOPOROSA;8035441;FP;[];Nao
BA 1;8035436;NEOLIMESTONE GIZ WHITE MA 30X90;FP;m2;MONOPOROSA;8035440;FP;[];Nao
BA 1;8035435;NEOLIMESTONE GRAY MA 30X90;FP;m2;MONOPOROSA;8035439;FP;[];Nao
BA 1;8035434;NEOLIMESTONE WHITE MA 30X90;FP;m2;MONOPOROSA;8035438;FP;[];Nao
BA 1;8033622;ORIGAMI AC 30X90;FP;m2;MONOPOROSA;8030763;FP;[];Nao
BA 1;8035020;PATCHWORK BAUHAUS AC 30X90;FP;m2;MONOPOROSA;8035145;FP;[];Nao
BA 1;8035022;PATCHWORK CARTAZ BR 30X90;FP;m2;MONOPOROSA;8035147;FP;[];Nao
BA 1;8035021;PATCHWORK LADRILHO AC 30X90;FP;m2;MONOPOROSA;8035146;FP;[];Nao
BA 1;8035019;PATCHWORK PORTUGUES AC 30X90;FP;m2;MONOPOROSA;8035144;FP;[];Nao
BA 1;8033623;PEDRA PALITO DECORADO AC 30x90;FP;m2;MONOPOROSA;8028567;FP;[];Nao
BA 1;8035190;PIETRA MAREA CREMA MA 30X90;FP;m2;MONOPOROSA;8035219;FP;[];Nao
BA 1;8035029;PIETRA MAREA GIZ CREMA MA 30X90;FP;m2;MONOPOROSA;8035219;FP;[];Nao
BA 1;8035030;PIETRA MAREA GIZ GRIS MA 30X90;FP;m2;MONOPOROSA;8035155;FP;[];Nao
BA 1;8035191;PIETRA MAREA GRIS MA 30X90;FP;m2;MONOPOROSA;8035220;FP;[];Nao
BA 1;8033624;SENSORIAL AC 30X90;FP;m2;MONOPOROSA;8030761;FP;[];Nao
BA 1;8035043;TREVI GIZ GOLD MA 30X90;FP;m2;MONOPOROSA;8035158;FP;[];Nao
BA 1;8035044;TREVI GIZ SILVER MA 30X90;FP;m2;MONOPOROSA;8035159;FP;[];Nao
BA 1;8069346;BUILD DECOR EIGHT FACES AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8069900;BUILD DECOR FRAME AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8039580;FORMA BRANCO AC 33,5X60;LB;m2;MONOPOROSA;;;[];Sim
BA 1;8039581;FORMA BRANCO BR 33,5X60;LB;m2;MONOPOROSA;;;[];Sim
BA 1;8039582;FORMA FENDI AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8039583;FORMA FENDI BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8033811;FORMA SLIM BRANCO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8033812;FORMA SLIM BRANCO BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8068874;FUNDO SKINA BRANCO ESM ACET 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8068875;FUNDO SKINA CASTANHO ESM ACET 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8048141;ONIX CRISTAL BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8048140;PLACE BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8053610;PLENO BEGE AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8053611;PLENO BEGE BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8053602;PLENO BRANCO AC 33,5X60;LB;m2;MONOPOROSA;;;[];Sim
BA 1;8053603;PLENO BRANCO BR 33,5X60;LB;m2;MONOPOROSA;;;[];Sim
BA 1;8039744;ZEN BRANCO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8039745;ZEN BRANCO BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8039584;FORMA BRANCO AC 32,5x59;FP;m2;MONOPOROSA;8039580;LB;[];Nao
BA 1;8039585;FORMA BRANCO BR 32,5X59;FP;m2;MONOPOROSA;8039581;LB;[];Nao
BA 1;8039586;FORMA FENDI AC 32,5X59;FP;m2;MONOPOROSA;8039582;FP;[];Nao
BA 1;8039587;FORMA FENDI BR 32,5X59;FP;m2;MONOPOROSA;8039583;FP;[];Nao
BA 1;8033813;FORMA SLIM BRANCO AC 32,5X59;FP;m2;MONOPOROSA;8033811;FP;[];Nao
BA 1;8033814;FORMA SLIM BRANCO BR 32,5X59;FP;m2;MONOPOROSA;8033812;FP;[];Nao
BA 1;8039588;PORCELANA PROSECCO AC 32,5x59;FP;m2;MONOPOROSA;8039582;FP;[];Nao
BA 1;8039589;PORCELANA PROSECCO BR 32,x59;FP;m2;MONOPOROSA;8039583;FP;[];Nao
BA 1;8039590;ZEN BRANCO AC 32,5x59;FP;m2;MONOPOROSA;8039580;LB;[];Nao
BA 1;8039591;ZEN BRANCO BR 32,5X59;FP;m2;MONOPOROSA;8039581;LB;[];Nao
BA 1;8035872;FORMA BRANCO AC 33,5X45;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8035871;FORMA BRANCO BR 33,5X45;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8035873;FORMA FENDI BR 33,5X45;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040232;ARCO BRANCO BR 30X90;FP;m2;MONOPOROSA;8040222;FP;[];Nao
BA 1;8046472;BERNINI ORO AC 30X90;PL;m2;MONOPOROSA;8046017;PL;[];Nao
BA 1;8039432;CALACATA CRISTALO BR 30X90*;FP;m2;MONOPOROSA;8039427;FP;[];Nao
BA 1;8045052;CARPA BRANCO BR 30x90;FP;m2;MONOPOROSA;8045044;FP;[];Nao
BA 1;8045053;CARPA BRANCO MT 30x90;FP;m2;MONOPOROSA;8045045;FP;[];Nao
BA 1;8039431;CARRARA FLASH BR 30X90*;FP;m2;MONOPOROSA;8039426;FP;[];Nao
BA 1;8040237;COLMEIA AREIA AC 30X90;FP;m2;MONOPOROSA;8040227;FP;[];Nao
BA 1;8040236;COLMEIA BRANCO AC 30X90;FP;m2;MONOPOROSA;8040226;FP;[];Nao
BA 1;8040235;COLMEIA CIMENTO AC 30X90;FP;m2;MONOPOROSA;8040225;FP;[];Nao
BA 1;8042297;COLMEIA VERMELHO AC 30X90;FP;m2;MONOPOROSA;8042296;FP;[];Nao
BA 1;8038433;CREMA MARFIL ORIGAMI AC 30X90;FP;m2;MONOPOROSA;8038472;FP;[];Nao
BA 1;8038432;CREMA MARFIL ORIGAMI BR 30X90;FP;m2;MONOPOROSA;8038471;FP;[];Nao
BA 1;8038430;CRISTALO AC 30X90;FP;m2;MONOPOROSA;8038469;FP;[];Nao
BA 1;8045047;DORICO CEDRO MA 30x90;FP;m2;MONOPOROSA;8045039;FP;[];Nao
BA 1;8045046;DORICO MARFIM MA 30x90;FP;m2;MONOPOROSA;8045038;FP;[];Nao
BA 1;8040239;ESTRELA BRANCO BR 30X90;FP;m2;MONOPOROSA;8040229;FP;[];Nao
BA 1;8038429;FLASH AC 30X90;FP;m2;MONOPOROSA;8038468;FP;[];Nao
BA 1;8045051;IBIRAPUERA CAMEL MA 30x90;FP;m2;MONOPOROSA;8045043;FP;['8045757'];Nao
BA 1;8045111;IBIRAPUERA CINZA MA 30x90;FP;m2;MONOPOROSA;8045110;FP;[];Nao
BA 1;8040238;LOSANGO BRANCO AC 30X90;FP;m2;MONOPOROSA;8040228;FP;[];Nao
BA 1;8040234;LOSANGO TACO AC 30X90;FP;m2;MONOPOROSA;8040224;FP;[];Nao
BA 1;8045050;OASIS BRANCO AC 30X90;PL;m2;MONOPOROSA;8045042;FP;[];Nao
BA 1;8038431;ORIGAMI AC 30X90;FP;m2;MONOPOROSA;8038470;FP;[];Nao
BA 1;8040230;PIRAMIDE BRANCO AC 30X90;FP;m2;MONOPOROSA;8040220;FP;[];Nao
BA 1;8040231;PIRAMIDE TERRACOTTA AC 30X90;FP;m2;MONOPOROSA;8040221;FP;[];Nao
BA 1;8046471;TREVI CAMEL MA 30X90;PL;m2;MONOPOROSA;8046020;PL;[];Nao
BA 1;8046470;TREVI ORO AC 30X90;PL;m2;MONOPOROSA;8046019;PL;[];Nao
BA 1;8045048;ZEUS BRANCO BR 30x90;FP;m2;MONOPOROSA;8045040;FP;[];Nao
BA 1;8045049;ZEUS BRANCO MT 30x90;FP;m2;MONOPOROSA;8045041;FP;['8045749'];Nao
BA 1;8037486;CREATIVE BOSSA WHITE BR 33,5X60**;FP;M2;MONOPOROSA;;;[];Nao
BA 1;8037487;CREATIVE PRISMA WHITE BR 33,5X60**;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040168;ESCALA BRANCO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040169;ESCALA MARINHO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040172;ESTRELA BRANCO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040173;ESTRELA BRANCO BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040174;ESTRELA CARBONO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040171;FAVO BRANCO BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040163;HEXA BRANCO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040166;LOSANGO AMARELO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040164;LOSANGO BRANCO AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040165;LOSANGO BRANCO BR 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040167;LOSANGO CINZA AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8042016;LOSANGO VERMELHO AC 33,5X60;PL;m2;MONOPOROSA;;;[];Nao
BA 1;8037488;MONTE BIANCO AC 33,5X60**;FP;m2;MONOPOROSA;;;[];Nao
