CodigoOriginal;DescOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;PrensadoOriginal;Dimensao;Nome Mae;Acabamento Superficie;Unidade Pai;Polo;Item Fundo;PrensadoFundo;SituacaoFundo;UnidadePaiFundo;PoloFundo;ClonesLista;PrensadoRevisado;Validado;UnidadePaiNorm;DimensaoNorm;AcabamentoNorm
1461508;SELAFACIL CINZA SACHE 600ml-CX 20UN P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CINZA SACHE 600ml-CX 20UN P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461516;SELAFACIL MARFIM SACHE 600ml-CX 20UNP/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MARFIM SACHE 600ml-CX 20UNP/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461419;SELAFACIL MS BRANCO SACHE600ml-CX20UN ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS BRANCO SACHE600ml-CX20UN ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461427;SELAFACIL MS INCOL.SACHE 600ml-CX20UN ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS INCOL.SACHE 600ml-CX20UN ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461524;SELAFACIL PESSEGO SACHE 600ml-CX20UNP/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PESSEGO SACHE 600ml-CX20UNP/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461532;SELAFACIL PRETO SACHE 600ml-CX 20UN P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PRETO SACHE 600ml-CX 20UN P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461540;SELAFACIL SALMON SACHE 600ml-CX20UN P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL SALMON SACHE 600ml-CX20UN P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461559;SELAFACIL VERDE SACHE 600ml-CX 20UN P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL VERDE SACHE 600ml-CX 20UN P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
8016596;SELAFACIL BEGE CX 12UN              P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BEGE CX 12UN              P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016566;SELAFACIL BRANCO CX 12UN            P/ME;FP;CX;OUTRA;Nao;ADITIVO;SELAFACIL BRANCO CX 12UN            P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016597;SELAFACIL CAFE CX 12UN              P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CAFE CX 12UN              P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016598;SELAFACIL CINZA CX 12UN             P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CINZA CX 12UN             P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016970;SELAFACIL MARFIM CX 12UN P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MARFIM CX 12UN P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
