Item Fundo;Descricao;Med;Sit;Seq;Seq Alt;Dt ini val;Dt fim val;Item;Desc;Sit;Med;Emb;Desc.Emb;;;;
170810;VILLA VECCHIA BEIGE 25X33,5;m2;FP;6;0;15/05/2003;30/12/2050;1038265;PL. SERIE VILLA VECCHIA BG AZ C/ DECORA;FP;PC;;;;;;
170810;VILLA VECCHIA BEIGE 25X33,5;m2;FP;6;0;15/05/2003;30/12/2050;1038281;PL. SERIE VILLA VECCHIA BG/ROSSO AZ C/LI;FP;PC;;;;;;
170836;VILLA VECCHIA GRIGIO 25X33,5;m2;FP;10;0;31/03/2006;30/12/2050;173940;VILLA VECCHIA I-8800 GRIGIO;FP;pc;5097517;EMB.PAP.OND.25X33 MED.AUT.337X252X146;;;;
170836;VILLA VECCHIA GRIGIO 25X33,5;m2;FP;1;0;01/01/2002;30/12/2050;178365;"SN 4339-VILLA VECCHIA GRIGIO-3""X3""-7.0";FP;pc;5097517;EMB.PAP.OND.25X33 MED.AUT.337X252X146;5220440;EMB.PAP.OND.7,5X7,5 DIM.153X78X78;;
170836;VILLA VECCHIA GRIGIO 25X33,5;m2;FP;1;0;01/01/2002;30/12/2050;179256;"SN 4339-VILLA VECCHIA GRIGIO-3""X3""-8,3";FP;pc;5097517;EMB.PAP.OND.25X33 MED.AUT.337X252X146;;;;
170836;VILLA VECCHIA GRIGIO 25X33,5;m2;FP;6;0;15/05/2003;30/12/2050;1038273;PL. SERIE VILLA VECCHIA GRIGIO AZ C/ DE;FP;PC;;;;;;
170836;VILLA VECCHIA GRIGIO 25X33,5;m2;FP;6;0;15/05/2003;30/12/2050;1038290;PL. SERIE VILLA VECCHIA BIANCO/GRIGIO AZ;FP;PC;;;;;;
171069;VILLA FILETE BIANCO/I              P/ ME;pc;FP;2;0;15/05/2003;30/12/2050;1037943;PL. SERIE VILLA ASSISI BEIGE AZ C/ DECOR;FP;PC;;;;;;
171069;VILLA FILETE BIANCO/I              P/ ME;pc;FP;2;0;15/05/2003;30/12/2050;1038273;PL. SERIE VILLA VECCHIA GRIGIO AZ C/ DE;FP;PC;;;;;;
171069;VILLA FILETE BIANCO/I              P/ ME;pc;FP;2;0;15/05/2003;30/12/2050;1038290;PL. SERIE VILLA VECCHIA BIANCO/GRIGIO AZ;FP;PC;;;;;;
171077;VILLA ASSISI FILETE AVORIO/I       P/ ME;pc;FP;2;0;15/05/2003;30/12/2050;1037951;PL. SERIE VILLA ASSISI NOCE AZ C/ DECOR;FP;PC;;;;;;
171077;VILLA ASSISI FILETE AVORIO/I       P/ ME;pc;FP;2;0;15/05/2003;30/12/2050;1037986;PL. SERIE VILLA ASSISI AVORIO/NOCE C/LIS;FP;PC;;;;;;
171077;VILLA ASSISI FILETE AVORIO/I       P/ ME;pc;FP;3;0;23/05/2007;30/12/2050;1040855;PL. ME VILLA ASSISI NOCE;LB;PC;;;;;;
171085;VILLA FILETE BEIGE/I               P/ ME;pc;FP;5;0;15/05/2003;30/12/2050;1037943;PL. SERIE VILLA ASSISI BEIGE AZ C/ DECOR;FP;PC;;;;;;
171085;VILLA FILETE BEIGE/I               P/ ME;pc;FP;5;0;15/05/2003;30/12/2050;1038265;PL. SERIE VILLA VECCHIA BG AZ C/ DECORA;FP;PC;;;;;;
